brand,perfume,notes
nafnaf,nafnaf-too,mango pear mandarin orange peony jasmine neroli patchouli musk
armand-basi,scent-of-kiss-poplove,pear watermelon bergamot jasmine white lily musk white wood cashmeran
lotus,lotus-oud,agarwood (oud) palisander rosewood cardamom vetiver sandalwood tonka bean amber
mexx,mexx-waterlove-man,pineapple melon lime bergamot apple violet lily-of-the-valley jasmine peach precious woods amber vanilla
aaron-terence-hughes,rose,turkish rose madagascar vanilla tonka bean spices red berries lotus oakmoss agarwood (oud) musk patchouli
fragrance-du-bois,pm,indian tuberose floral notes juniper berries cardamom lemon leather cedar orris root indonesian patchouli leaf labdanum woody notes benzoin amber
jean-charles-brosseau,fleurs-d-ombre-bergamote,amalfi lemon bergamot bitter orange rosemary clove jasmine heliotrope oakmoss patchouli amber tonka bean
yardley,english-dahlia-fragrance-mist,green notes citruses apple neroli floral notes rose peony dahlia patchouli cedar musk
solstice-scents,gin-flower,juniper berries lime citron black elder osmanthus honey vanilla apricot pear sandalwood
police,to-be-goodvibes-for-him,clary sage bergamot black pepper jasmine juniper magnolia amberwood tobacco vetiver
replay,tank-custom-for-him,elemi ginger bergamot yuzu cardamom anise plum vetiver lavender patchouli wild jasmine tonka bean musk sandalwood amber
navitus-parfums,miel-extase,honey dried fruits apricot ginger violet rum saffron toffee madagascar vanilla tonka bean dark chocolate caramel
morph,oud-mafia,saffron nutmeg thyme oud incense gurjan balsam cistus incanus orcanox™ patchouli vetiver
filippo-sorcinelli,santa-casa,incense orange bergamot sea notes tobacco french rose musk benzoin vanilla sandalwood ambrette amber
bruno-banani,absolute-woman,litchi pink pepper pink grapefruit blackberry bergamot rose marigold jasmine orange blossom cedar amber vanilla moss patchouli musk
avon,full-speed-power,lemon rosemary cedar
avon,summer-white-bright,lemon lily-of-the-valley tagetes
frederic-malle,outrageous-limited-edition-2017,green apple grapefruit lime cinnamon mint neroli orange blossom aldehydes musk ambroxan cedar
les-parfums-de-rosine,bleu-abysse,elemi bergamot cassis mineral notes rose algae vetiver patchouli agarwood (oud) incense
salvatore-ferragamo,amo-ferragamo-oriental-wood,guatemalan cardamom apple lemon rose saffron jasmine resins musk vanilla
yves-saint-laurent,black-opium-storm-illusion,pink pepper orange blossom mandarin orange bergamot pear tuberose licorice coffee bitter almond jasmine sambac cashmirwood white musk vanilla patchouli cedar
zara,till-sunrise,galbanum cypress tonka bean
mexx,life-is-now-for-her,pear guava orange iris jasmine white lily musk vanilla cedar
ricardo-ramos-perfumes-de-autor,sacromonte,grass fig basil lily-of-the-valley plum jasmine black amber hay white musk amber
absolument-parfumeur,absolument-femme,grapefruit tangerine bergamot wormwood violet magnolia spices cardamom rose nutmeg lily-of-the-valley ylang-ylang jasmine white musk sandalwood amber
alexandre-j,the-majestic-oud,black currant raspberry apple bergamot lemon melon patchouli sage agarwood (oud) amber musk
kkw-fragrance,body,peach bergamot pink pepper green mandarin jasmine sambac ylang-ylang turkish rose australian sandalwood musk haitian vetiver amber
parfums-vintage,evolution-de-l-homme-matin,grapefruit lime juniper berries thyme lemon pink pepper artemisia bergamot patchouli cedar jasmine black currant apple rose cypriol oil or nagarmotha ambergris musk birch vanilla
zimaya,musk-is-great,bergamot mandarin orange magnolia black currant musk white musk sandalwood
paolo-gigli,libeccio,lilac rose jasmine eucalyptus cyclamen mint raspberry iris peach cedar amber sandalwood vanilla
shay-blue-london,kings-wood,pineapple fern sichuan pepper oak leather
replay,stone-supernova-for-him,fruity notes citruses lavender watery notes cashmere wood rose oakmoss tonka bean sandalwood cedar
rammstein,pussy,animal notes pomelo hyacinth tuberose jasmine transparent woods palisander rosewood
avon,up-to-you-for-her,peach mandarin orange freesia magnolia peony lily-of-the-valley sandalwood leather cedar
avon,viva-by-fergie,green notes bergamot lavender mint narcissus vetiver woody notes white musk
avon,incandessence-flame,pink pepper gardenia jasmine musk
calvin-klein,defy,bergamot lavender vetiver amber
acqua-di-parma,zafferano-collector-edition,bitter orange mandarin orange coriander bergamot saffron geranium rose orange blossom jasmine sambac vanilla patchouli tonka
maison-francis-kurkdjian,aqua-universalis-cologne-forte,bergamot sweet pea mock orange white musk
montale,mango-manga,mango orange ylang-ylang jasmine neroli agarwood (oud) oak moss vetyver virginia cedar
natura,intensa,apple citruses floral fruity notes musk
o-boticario,xtreme-xplosion,cardamom cinnamon mandarin orange bergamot mimosa jasmine sage sandalwood vanille musk amber virginia cedar
axe,alaska,bergamot grapefruit pineapple melon lavender jasmine sandalwood amber
faberlic,intense,juniper green notes violet cardamom mint jasmine woody notes oakmoss
